,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total
95,Robotron 64,N64,1998.0,Shooter,GT Interactive,70.0,20.0,0.0,0.0,90.0
96,Gummy Bears Magical Medallion,Wii,2011.0,Platform,Storm City Games,20.0,0.0,0.0,0.0,20.0
97,Tony Hawk's Pro Skater 2,N64,2001.0,Sports,Activision,590.0,160.0,0.0,10.0,760.0
98,Red Steel 2,Wii,2010.0,Shooter,Ubisoft,360.0,210.0,10.0,60.0,640.0
99,Romancing SaGa 2,SNES,1993.0,Role-Playing,SquareSoft,0.0,0.0,1170.0,0.0,1170.0
100,Samurai Warriors Chronicles 3,3DS,2014.0,Action,Tecmo Koei,0.0,0.0,80.0,0.0,80.0
101,Where's Waldo? The Fantastic Journey,Wii,2009.0,Adventure,Ubisoft,180.0,0.0,0.0,10.0,190.0
102,Nobunaga no Yabou: Ranseiki,PS2,2002.0,Strategy,Tecmo Koei,0.0,0.0,130.0,0.0,130.0
103,The Guy Game,XB,2004.0,Misc,Gathering of Developers,50.0,20.0,0.0,0.0,70.0
104,Metroid Prime Pinball,DS,2005.0,Misc,Nintendo,210.0,0.0,20.0,20.0,250.0
105,NCAA Football 08,XB,2007.0,Sports,Electronic Arts,60.0,20.0,0.0,0.0,80.0
106,NHL 06,XB,2005.0,Sports,Electronic Arts,190.0,50.0,0.0,10.0,250.0
107,Madden NFL 2001,PS2,2000.0,Sports,Electronic Arts,1190.0,70.0,50.0,200.0,1510.0
108,Yakuza Kiwami,PS3,2016.0,Adventure,Sega,0.0,0.0,120.0,0.0,120.0
110,Ore wa Shoujo Mangaka,PSP,2012.0,Action,Giza10,0.0,0.0,20.0,0.0,20.0
111,Rocky Balboa,PSP,2007.0,Sports,Ubisoft,10.0,90.0,0.0,10.0,110.0
112,Victory Spike,PS,1996.0,Sports,Imagineer,0.0,0.0,10.0,0.0,10.0
113,Bubble Bobble Revolution,DS,2005.0,Puzzle,Atari,40.0,0.0,0.0,0.0,40.0
114,State of Emergency 2,PS2,2006.0,Shooter,SouthPeak Games,40.0,30.0,0.0,10.0,80.0
115,Lords of the Fallen,PC,2014.0,Role-Playing,Square Enix,0.0,30.0,0.0,0.0,30.0
116,Mazes of Fate DS,DS,2008.0,Role-Playing,Graffiti,40.0,0.0,0.0,0.0,40.0
117,Jikkyou Powerful Pro Baseball 2016,PS4,2016.0,Sports,Konami Digital Entertainment,0.0,0.0,170.0,0.0,170.0
118,King Arthur,GC,2004.0,Action,Konami Digital Entertainment,30.0,10.0,0.0,0.0,40.0
119,Magna Carta Portable,PSP,2006.0,Role-Playing,Banpresto,0.0,0.0,30.0,0.0,30.0
120,Lise no Atelier: Ordre no Renkinjutsushi,DS,2007.0,Role-Playing,Gust,0.0,0.0,40.0,0.0,40.0
121,Armored Core: Master of Arena,PS,1999.0,Simulation,From Software,70.0,50.0,130.0,20.0,270.0
122,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,5910.0,2380.0,130.0,900.0,9320.0
123,Shrek Super Party,GC,2003.0,Misc,TDK Mediactive,40.0,10.0,0.0,0.0,50.0
124,Steins;Gate: Hiyoku Renri no Darling,PS3,2012.0,Adventure,5pb,0.0,0.0,20.0,0.0,20.0
125,Crime Scene,DS,2009.0,Adventure,Nobilis,0.0,20.0,0.0,0.0,20.0
126,Mortal Kombat,PS3,2011.0,Fighting,Warner Bros. Interactive Entertainment,1980.0,550.0,0.0,320.0,2850.0
127,Circuit Breakers,PS,1998.0,Racing,Mindscape,40.0,30.0,0.0,0.0,70.0
128,Rozen Maiden: Gebetgarten,PS2,2007.0,Fighting,Taito,0.0,0.0,10.0,0.0,10.0
129,Sea Park Tycoon,DS,2010.0,Simulation,Foreign Media Games,20.0,10.0,0.0,0.0,30.0
130,Hot Wheels: Battle Force 5,DS,2009.0,Racing,Activision,130.0,20.0,0.0,10.0,160.0
131,Call of Duty 4: Modern Warfare,PC,2007.0,Shooter,Activision,0.0,1120.0,0.0,30.0,1150.0
132,Rabbids Invasion: The Interactive TV Show,PS4,2014.0,Misc,Ubisoft,0.0,10.0,0.0,0.0,10.0
133,Cabela's Big Game Hunter: Pro Hunts,WiiU,2014.0,Shooter,Activision,20.0,0.0,0.0,0.0,20.0
134,Forza Horizon 2,X360,2014.0,Racing,Microsoft Game Studios,350.0,430.0,0.0,70.0,850.0
135,Hitman: HD Trilogy,PS3,2013.0,Action,Square Enix,70.0,100.0,0.0,40.0,210.0
136,Super Robot Taisen XO,X360,2006.0,Strategy,Banpresto,0.0,0.0,10.0,0.0,10.0
137,Call of Juarez: The Cartel,PS3,2011.0,Shooter,Ubisoft,120.0,130.0,0.0,50.0,300.0
138,Warriors Orochi 3,PS4,2014.0,Action,Tecmo Koei,40.0,50.0,40.0,20.0,150.0
139,The Incredibles: Rise of the Underminer,PS2,2005.0,Action,THQ,180.0,140.0,0.0,50.0,370.0
140,Looney Tunes: Galactic Sports,PSV,2015.0,Action,Sony Computer Entertainment,0.0,60.0,0.0,20.0,80.0
141,Sumikko Gurashi: Koko ga Ochitsukundesu,3DS,2014.0,Action,Nippon Columbia,0.0,0.0,170.0,0.0,170.0
142,FIFA Manager 12,PC,2011.0,Sports,Electronic Arts,0.0,30.0,0.0,10.0,40.0
143,Buffy the Vampire Slayer: Chaos Bleeds,PS2,2003.0,Action,Vivendi Games,90.0,70.0,0.0,20.0,180.0
144,UEFA Euro 2008 Austria-Switzerland,PSP,2008.0,Sports,Electronic Arts,60.0,130.0,0.0,60.0,250.0
145,TOCA Race Driver 3,PC,2006.0,Racing,Codemasters,0.0,20.0,0.0,0.0,20.0
146,Fallout 4,PC,2015.0,Role-Playing,Bethesda Softworks,500.0,630.0,0.0,100.0,1230.0
147,"Army Men World War: Land, Sea, Air",PS,2000.0,Action,3DO,170.0,120.0,0.0,20.0,310.0
148,Dai-2-Ji Super Robot Taisen α,PS2,2003.0,Strategy,Banpresto,0.0,0.0,600.0,0.0,600.0
149,Yu-Gi-Oh! The Sacred Cards,GBA,2002.0,Role-Playing,Konami Digital Entertainment,940.0,350.0,0.0,20.0,1310.0
150,Nicola Kanshuu: Model * Oshare Audition,DS,2010.0,Misc,Alchemist,0.0,0.0,60.0,0.0,60.0
151,SX Superstar,GC,2003.0,Racing,Acclaim Entertainment,30.0,10.0,0.0,0.0,40.0
152,Style Savvy: Trendsetters,3DS,2012.0,Simulation,Nintendo,160.0,20.0,530.0,10.0,720.0
153,Densetsu no Stafi 4,DS,2006.0,Platform,Nintendo,0.0,0.0,170.0,0.0,170.0
154,"Simple 2500 Series Portable!! Vol. 12: The Hohei 2: Senyuu yo, Sakini Ike",PSP,2009.0,Action,D3Publisher,0.0,0.0,20.0,0.0,20.0
155,The Sims 2: Castaway,DS,2007.0,Simulation,Electronic Arts,630.0,50.0,0.0,60.0,740.0
156,Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987.0,Role-Playing,Namco Bandai Games,0.0,0.0,1250.0,0.0,1250.0
157,Tom Clancy's Rainbow Six: Vegas 2,PC,2008.0,Shooter,Ubisoft,0.0,20.0,0.0,0.0,20.0
158,Disney Guilty Party,Wii,2010.0,Misc,Disney Interactive Studios,430.0,0.0,0.0,30.0,460.0
159,International Superstar Soccer 2000 (JP weekly sales),N64,1999.0,Sports,Konami Digital Entertainment,0.0,0.0,180.0,0.0,180.0
160,PictoImage,DS,2007.0,Puzzle,Sega,100.0,0.0,0.0,10.0,110.0
161,Tamagotchi no Narikiri Channel,DS,2009.0,Role-Playing,Namco Bandai Games,0.0,0.0,150.0,0.0,150.0
162,Doom 3 BFG Edition,PC,2012.0,Shooter,Bethesda Softworks,0.0,20.0,0.0,10.0,30.0
163,Dragon Quest VII: Warriors of Eden,PS,2000.0,Role-Playing,Enix Corporation,200.0,140.0,4100.0,20.0,4460.0
164,El Shaddai: Ascension of the Metatron,X360,2011.0,Action,Ignition Entertainment,70.0,50.0,30.0,10.0,160.0
165,Burnout 3: Takedown,PS2,2004.0,Racing,Electronic Arts,1230.0,1110.0,0.0,340.0,2680.0
166,Dragon Quest Builders: Revive Alefgard,PS4,2016.0,Role-Playing,Square Enix,0.0,0.0,220.0,0.0,220.0
167,MediEvil: Resurrection,PSP,2005.0,Adventure,Sony Computer Entertainment,190.0,410.0,0.0,220.0,820.0
168,Twinkle * Crusaders GoGo!,PSP,2010.0,Adventure,ASCII Media Works,0.0,0.0,20.0,0.0,20.0
169,One Piece: Grand Battle!,PS,2001.0,Fighting,Atari,0.0,0.0,460.0,30.0,490.0
170,Jikkyou Powerful Pro Yakyuu 2011 Ketteiban,PSP,2011.0,Sports,Konami Digital Entertainment,0.0,0.0,130.0,0.0,130.0
171,The Warriors,PS2,2005.0,Action,Take-Two Interactive,440.0,20.0,0.0,70.0,530.0
172,The Sims 2,PC,2004.0,Simulation,Electronic Arts,20.0,240.0,0.0,50.0,310.0
173,NCAA Football 07,XB,2006.0,Sports,Electronic Arts,420.0,120.0,0.0,10.0,550.0
174,Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars,GBA,2004.0,Strategy,Nintendo,0.0,0.0,80.0,0.0,80.0
175,Marvel Super Heroes,PS,1997.0,Fighting,Virgin Interactive,190.0,130.0,0.0,20.0,340.0
176,Max Payne,GBA,2003.0,Shooter,Take-Two Interactive,20.0,10.0,0.0,0.0,30.0
177,Curse of the Amsterdam Diamond,DS,2012.0,Puzzle,Easy Interactive,0.0,10.0,0.0,0.0,10.0
178,SD Gundam G Generation World,PSP,2011.0,Strategy,Namco Bandai Games,0.0,0.0,340.0,0.0,340.0
179,Conflict: Desert Storm,GC,2003.0,Shooter,SCi,60.0,20.0,0.0,0.0,80.0
180,Mystic Ark,SNES,1995.0,Role-Playing,Enix Corporation,0.0,0.0,130.0,0.0,130.0
181,F.E.A.R. 2: Project Origin,PS3,2009.0,Shooter,Warner Bros. Interactive Entertainment,190.0,210.0,10.0,80.0,490.0
182,Madden NFL 07,XB,2006.0,Sports,Electronic Arts,970.0,30.0,0.0,30.0,1030.0
183,Rugby 06,XB,2006.0,Sports,Electronic Arts,10.0,0.0,0.0,0.0,10.0
184,FIFA Soccer,PSP,2005.0,Sports,Electronic Arts,110.0,0.0,0.0,10.0,120.0
185,Ore no Yome: Anata Dake no Hanayome,X360,2010.0,Adventure,Idea Factory,0.0,0.0,20.0,0.0,20.0
186,Goblin Commander: Unleash the Horde,GC,2003.0,Strategy,Jaleco,10.0,0.0,0.0,0.0,10.0
187,Phoenix Wright: Revived Turnabout,DS,2008.0,Misc,Capcom,0.0,0.0,40.0,0.0,40.0
188,Fatal Frame III: The Tormented,PS2,2005.0,Action,Take-Two Interactive,40.0,30.0,0.0,10.0,80.0
189,Garfield's Nightmare,DS,2007.0,Platform,Game Factory,10.0,0.0,0.0,0.0,10.0
190,Turbo Turtle Adventure,GBA,2002.0,Puzzle,Majesco Entertainment,40.0,10.0,0.0,0.0,50.0
191,Carnage Heart EXA,PSP,2010.0,Strategy,ArtDink,0.0,0.0,20.0,0.0,20.0
192,Left 4 Dead 2,X360,2009.0,Shooter,Electronic Arts,2670.0,890.0,50.0,370.0,3980.0
193,WWE 2K15,PS3,2014.0,Sports,Take-Two Interactive,360.0,350.0,0.0,140.0,850.0
194,Dora the Explorer: Super Star Adventures,GBA,2004.0,Adventure,Game Factory,170.0,60.0,0.0,0.0,230.0
195,Shin Chan: ¡Aventuras de Cine!,DS,2008.0,Platform,505 Games,0.0,0.0,150.0,0.0,150.0
196,The Legend of Heroes: Trails of Cold Steel II,PS3,2014.0,Role-Playing,Nippon Ichi Software,10.0,0.0,110.0,0.0,120.0
197,NBA 2K17,X360,2016.0,Sports,Take-Two Interactive,40.0,0.0,0.0,10.0,50.0
198,Shutsugeki! Otometachi no Senjou 2: Ikusabana no Kizuna,PSP,2011.0,Strategy,System Soft,0.0,0.0,10.0,0.0,10.0
199,Doki-Doki Universe,PSV,2013.0,Adventure,Sony Computer Entertainment,10.0,40.0,0.0,10.0,60.0
200,Dr. Seuss' The Cat in the Hat,XB,2003.0,Misc,Vivendi Games,80.0,20.0,0.0,0.0,100.0
201,Alpha Protocol,PC,2010.0,Role-Playing,Sega,0.0,30.0,0.0,10.0,40.0
202,Bust-A-Move '99,PS,1997.0,Puzzle,Acclaim Entertainment,180.0,120.0,0.0,20.0,320.0
203,Puzzle Quest: Challenge of the Warlords,DS,2007.0,Puzzle,D3Publisher,280.0,10.0,30.0,20.0,340.0
204,Cabela's Deer Hunt 2005 Season,PS2,2004.0,Sports,Activision,180.0,140.0,0.0,50.0,370.0
205,Pachi-Slot Higrashi no Naku Koro ni Matsuri,PS2,2010.0,Misc,Alchemist,0.0,0.0,20.0,0.0,20.0
206,Mortal Kombat: Tournament Edition,GBA,2003.0,Fighting,Midway Games,10.0,0.0,0.0,0.0,10.0
207,FIFA Street 2,GC,2006.0,Sports,Electronic Arts,90.0,20.0,0.0,0.0,110.0
208,Pac 'n Roll,DS,2005.0,Platform,Namco Bandai Games,90.0,0.0,20.0,10.0,120.0
209,Harry Potter and the Sorcerer's Stone,XB,2003.0,Action,Electronic Arts,50.0,20.0,0.0,0.0,70.0
210,Mountain King,2600,1982.0,Action,CBS Electronics,290.0,20.0,0.0,0.0,310.0
211,Saki: Zenkoku-hen,PSV,2015.0,Misc,Kaga Create,0.0,0.0,50.0,0.0,50.0
212,Wild West Shootout,Wii,2010.0,Shooter,Unknown,10.0,10.0,0.0,0.0,20.0
213,NASCAR Unleashed,PS3,2011.0,Racing,Activision,90.0,0.0,0.0,10.0,100.0
214,Kouchuu Ouja Mushi King: Super Collection,DS,2007.0,Action,Sega,0.0,0.0,110.0,0.0,110.0
215,¡Shin Chan Flipa en colores!,DS,2007.0,Platform,505 Games,0.0,0.0,140.0,0.0,140.0
216,Phantom Crash,XB,2002.0,Simulation,Phantagram,30.0,10.0,10.0,0.0,50.0
217,MotoGP '06,X360,2006.0,Racing,THQ,110.0,10.0,0.0,10.0,130.0
218,Company of Heroes,PC,2006.0,Strategy,THQ,0.0,40.0,0.0,10.0,50.0
219,Road Trip: Shifting Gears,GBA,2002.0,Racing,Zoo Digital Publishing,10.0,0.0,0.0,0.0,10.0
220,Dragon Quest IV: Michibikareshi Monotachi,PS,2001.0,Role-Playing,Enix Corporation,0.0,0.0,1200.0,10.0,1210.0
221,Assassin's Creed Chronicles,PSV,2016.0,Action,Ubisoft,20.0,60.0,10.0,20.0,110.0
222,MLB 12: The Show,PSV,2012.0,Sports,Sony Computer Entertainment,180.0,0.0,0.0,20.0,200.0
223,Just Dance 3,Wii,2011.0,Misc,Ubisoft,6050.0,3150.0,0.0,1070.0,10270.0
224,Pokémon I Choose You / Squirtle Squad Game Boy Advance Video,GBA,2004.0,Misc,Nintendo,130.0,50.0,0.0,0.0,180.0
225,Namco Museum Vol.4,PS,1996.0,Misc,Sony Computer Entertainment,20.0,10.0,160.0,10.0,200.0
226,Disney's Winnie the Pooh's Rumbly Tumbly Adventure,GC,2005.0,Platform,Ubisoft,50.0,10.0,0.0,0.0,60.0
227,Guinness World Records: The Videogame,DS,2008.0,Action,Warner Bros. Interactive Entertainment,470.0,10.0,0.0,40.0,520.0
228,Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,PSV,2013.0,Strategy,Namco Bandai Games,0.0,0.0,30.0,0.0,30.0
229,Guitar Hero: Van Halen,PS2,2009.0,Misc,Activision,50.0,40.0,0.0,10.0,100.0
230,IL-2 Sturmovik: Birds of Prey,DS,2009.0,Simulation,505 Games,60.0,0.0,0.0,0.0,60.0
231,Nobunaga's Ambition: Iron Triangle,PS2,2006.0,Strategy,Tecmo Koei,40.0,30.0,0.0,10.0,80.0
232,Colosseum: Road to Freedom,PS2,2005.0,Role-Playing,Tecmo Koei,30.0,30.0,0.0,10.0,70.0
233,Rec Room Games,Wii,2009.0,Sports,Destineer,350.0,0.0,0.0,20.0,370.0
234,Winning Post 7: Maximum 2007,PS2,2007.0,Sports,Tecmo Koei,0.0,0.0,20.0,0.0,20.0
235,The Powerpuff Girls: Relish Rampage,GC,2002.0,Action,BAM! Entertainment,50.0,10.0,0.0,0.0,60.0
236,Kidou Senshi V Gundam,SNES,1994.0,Action,Namco Bandai Games,0.0,0.0,30.0,0.0,30.0
237,Suzuki TT Superbikes,PS2,2005.0,Racing,Jester Interactive,330.0,10.0,0.0,50.0,390.0
238,Okashi na Shima no Peter Pan: Sweet Never Land,PSP,2011.0,Adventure,Quinrose,0.0,0.0,20.0,0.0,20.0
239,Invasion From Beyond,PS,1998.0,Shooter,GT Interactive,50.0,30.0,0.0,10.0,90.0
240,NBA Street V3,PS2,2005.0,Sports,Electronic Arts,520.0,410.0,0.0,140.0,1070.0
241,Code Name: S.T.E.A.M.,3DS,2015.0,Strategy,Nintendo,140.0,50.0,10.0,20.0,220.0
242,Birthday Party Bash,Wii,2009.0,Misc,Take-Two Interactive,300.0,0.0,0.0,20.0,320.0
243,Seaman 2: Peking Genjin Ikusei Kit,PS2,2007.0,Simulation,Sega,0.0,0.0,60.0,0.0,60.0
244,"Lunar 2: Eternal Blue(sales, but wrong system)",GEN,1994.0,Role-Playing,Game Arts,0.0,0.0,140.0,0.0,140.0
